id_assinatura,id_cliente,id_plano,data_inicio,data_fim,status,motivo_cancelamento,churn_flag
A00462,C00462,P1,2022-10-30,2025-08-31,Cancelada,Concorrência,1
A00463,C00463,P3,2021-10-30,,Ativa,,0
A00464,C00464,P1,2021-05-16,,Ativa,,0
A00465,C00465,P3,2020-08-05,,Ativa,,0
A00466,C00466,P1,2022-06-04,,Ativa,,0
A00467,C00467,P1,2021-05-12,,Ativa,,0
A00468,C00468,P2,2021-03-31,,Ativa,,0
A00469,C00469,P2,2022-09-19,2024-08-26,Cancelada,Insatisfação,1
A00470,C00470,P3,2022-08-30,,Ativa,,0
A00471,C00471,P1,2021-06-07,,Ativa,,0
A00472,C00472,P1,2022-03-28,2024-06-19,Cancelada,Preço,1
A00473,C00473,P2,2022-11-07,2025-05-27,Cancelada,Preço,1
A00474,C00474,P1,2022-09-09,,Ativa,,0
A00475,C00475,P2,2021-01-15,,Ativa,,0
A00476,C00476,P3,2020-10-29,2025-08-17,Cancelada,Insatisfação,1
A00477,C00477,P1,2020-09-10,,Ativa,,0
A00478,C00478,P2,2022-11-15,,Ativa,,0
A00479,C00479,P3,2020-12-15,,Ativa,,0
A00480,C00480,P2,2021-11-07,,Ativa,,0
A00481,C00481,P3,2022-02-03,,Ativa,,0
A00482,C00482,P1,2022-11-27,,Ativa,,0
A00483,C00483,P1,2022-04-30,,Ativa,,0
A00484,C00484,P3,2022-10-08,2025-01-05,Cancelada,Preço,1
A00485,C00485,P1,2022-05-14,,Ativa,,0
A00486,C00486,P2,2022-01-11,2023-09-03,Cancelada,Atendimento,1
A00487,C00487,P1,2021-11-24,,Ativa,,0
A00488,C00488,P1,2022-07-18,2025-05-05,Cancelada,Preço,1
A00489,C00489,P2,2022-06-06,,Ativa,,0
A00490,C00490,P1,2022-11-13,2023-09-24,Cancelada,Concorrência,1
A00491,C00491,P2,2021-05-17,,Ativa,,0
A00492,C00492,P3,2020-11-12,,Ativa,,0
A00493,C00493,P1,2021-01-23,,Ativa,,0
A00494,C00494,P1,2020-11-09,,Ativa,,0
A00495,C00495,P1,2022-10-20,,Ativa,,0
A00496,C00496,P4,2022-08-19,,Ativa,,0
A00497,C00497,P2,2021-02-01,,Ativa,,0
A00498,C00498,P1,2020-08-18,2025-02-25,Cancelada,Atendimento,1
A00499,C00499,P3,2022-06-16,,Ativa,,0
A00500,C00500,P1,2021-01-25,,Ativa,,0
A00501,C00501,P2,2021-04-07,2024-10-31,Cancelada,Insatisfação,1
A00502,C00502,P2,2022-07-05,,Ativa,,0
A00503,C00503,P2,2021-02-18,,Ativa,,0
A00504,C00504,P4,2021-03-27,2023-05-03,Cancelada,Preço,1
A00505,C00505,P2,2020-11-21,,Ativa,,0
A00506,C00506,P1,2021-01-01,2024-08-09,Cancelada,Atendimento,1
A00507,C00507,P2,2020-09-21,,Ativa,,0
A00508,C00508,P1,2021-06-16,2023-12-05,Cancelada,Concorrência,1
A00509,C00509,P4,2020-09-15,,Ativa,,0
A00510,C00510,P1,2022-02-15,,Ativa,,0
A00511,C00511,P3,2021-04-20,2024-05-18,Cancelada,Insatisfação,1
A00512,C00512,P2,2021-09-22,2025-04-06,Cancelada,Preço,1
A00513,C00513,P1,2021-01-05,,Ativa,,0
A00514,C00514,P1,2021-04-20,,Ativa,,0
A00515,C00515,P2,2022-08-22,,Ativa,,0
A00516,C00516,P2,2021-02-19,,Ativa,,0
A00517,C00517,P2,2022-03-08,,Ativa,,0
A00518,C00518,P4,2020-12-04,,Ativa,,0
A00519,C00519,P2,2020-07-15,,Ativa,,0
A00520,C00520,P2,2022-04-02,2023-07-13,Cancelada,Insatisfação,1
A00521,C00521,P1,2021-10-13,,Ativa,,0
A00522,C00522,P2,2021-12-11,,Ativa,,0
A00523,C00523,P2,2022-03-10,,Ativa,,0
A00524,C00524,P1,2021-05-31,,Ativa,,0
A00525,C00525,P3,2020-09-29,2024-08-02,Cancelada,Insatisfação,1
A00526,C00526,P1,2021-01-08,,Ativa,,0
A00527,C00527,P1,2022-03-23,2024-10-13,Cancelada,Insatisfação,1
A00528,C00528,P4,2022-03-02,,Ativa,,0
A00529,C00529,P1,2022-05-05,,Ativa,,0
A00530,C00530,P3,2021-03-14,,Ativa,,0
A00531,C00531,P1,2022-02-24,2024-10-22,Cancelada,Insatisfação,1
A00532,C00532,P1,2021-07-31,2025-03-09,Cancelada,Preço,1
A00533,C00533,P3,2022-08-01,2023-03-09,Cancelada,Insatisfação,1
A00534,C00534,P1,2022-03-12,,Ativa,,0
A00535,C00535,P2,2022-05-28,,Ativa,,0
A00536,C00536,P2,2020-12-30,,Ativa,,0
A00537,C00537,P3,2022-07-06,2024-07-21,Cancelada,Concorrência,1
A00538,C00538,P1,2020-11-25,2024-04-04,Cancelada,Preço,1
A00539,C00539,P1,2020-12-25,,Ativa,,0
A00540,C00540,P2,2021-11-29,,Ativa,,0
A00541,C00541,P2,2021-01-06,2025-03-29,Cancelada,Preço,1
A00542,C00542,P3,2020-09-30,,Ativa,,0
A00543,C00543,P4,2021-02-15,,Ativa,,0
A00544,C00544,P4,2022-01-12,,Ativa,,0
A00545,C00545,P2,2020-10-28,2025-04-05,Cancelada,Preço,1
A00546,C00546,P3,2020-11-01,,Ativa,,0
A00547,C00547,P4,2021-05-20,,Ativa,,0
A00548,C00548,P1,2022-01-20,2025-03-19,Cancelada,Atendimento,1
A00549,C00549,P1,2022-11-03,,Ativa,,0
A00550,C00550,P2,2021-09-03,,Ativa,,0
A00551,C00551,P3,2021-09-13,,Ativa,,0
A00552,C00552,P1,2022-03-11,,Ativa,,0
A00553,C00553,P3,2022-02-12,,Ativa,,0
A00554,C00554,P2,2021-03-31,,Ativa,,0
A00555,C00555,P2,2022-03-22,,Ativa,,0
A00556,C00556,P2,2020-08-28,,Ativa,,0
A00557,C00557,P2,2022-05-30,,Ativa,,0
A00558,C00558,P1,2022-06-30,2024-11-09,Cancelada,Insatisfação,1
A00559,C00559,P1,2020-11-18,,Ativa,,0
A00560,C00560,P1,2021-08-15,2024-07-04,Cancelada,Atendimento,1
A00561,C00561,P3,2021-05-25,2025-08-23,Cancelada,Atendimento,1
A00562,C00562,P3,2021-11-03,,Ativa,,0
A00563,C00563,P3,2021-06-17,2023-07-09,Cancelada,Preço,1
A00564,C00564,P1,2021-06-17,,Ativa,,0
A00565,C00565,P3,2022-08-09,,Ativa,,0
A00566,C00566,P2,2021-04-16,,Ativa,,0
A00567,C00567,P2,2021-12-21,,Ativa,,0
A00568,C00568,P3,2020-09-16,2024-06-21,Cancelada,Preço,1
A00569,C00569,P1,2022-03-21,,Ativa,,0
A00570,C00570,P2,2022-01-05,,Ativa,,0
A00571,C00571,P2,2021-06-07,,Ativa,,0
A00572,C00572,P2,2022-11-13,,Ativa,,0
A00573,C00573,P1,2020-08-16,,Ativa,,0
A00574,C00574,P1,2022-08-11,2024-12-09,Cancelada,Concorrência,1
A00575,C00575,P1,2022-05-10,,Ativa,,0
A00576,C00576,P3,2022-03-15,,Ativa,,0
A00577,C00577,P4,2020-08-02,,Ativa,,0
A00578,C00578,P3,2020-08-11,2025-02-11,Cancelada,Insatisfação,1
A00579,C00579,P1,2021-06-19,,Ativa,,0
A00580,C00580,P1,2021-05-10,,Ativa,,0
A00581,C00581,P2,2022-08-18,,Ativa,,0
A00582,C00582,P1,2022-01-14,2023-04-20,Cancelada,Atendimento,1
A00583,C00583,P2,2021-03-19,,Ativa,,0
A00584,C00584,P4,2021-10-22,,Ativa,,0
A00585,C00585,P1,2022-11-26,,Ativa,,0
A00586,C00586,P3,2021-06-27,,Ativa,,0
A00587,C00587,P2,2022-07-14,,Ativa,,0
A00588,C00588,P3,2020-11-11,,Ativa,,0
A00589,C00589,P3,2020-08-15,,Ativa,,0
A00590,C00590,P2,2021-12-11,2023-10-04,Cancelada,Insatisfação,1
A00591,C00591,P1,2022-11-21,2025-01-23,Cancelada,Concorrência,1
A00592,C00592,P2,2022-10-12,2025-04-06,Cancelada,Insatisfação,1
A00593,C00593,P1,2020-09-18,2025-08-21,Cancelada,Insatisfação,1
A00594,C00594,P3,2021-07-07,,Ativa,,0
A00595,C00595,P2,2022-05-16,,Ativa,,0
A00596,C00596,P1,2022-09-02,2025-01-22,Cancelada,Concorrência,1
A00597,C00597,P1,2020-10-05,,Ativa,,0
A00598,C00598,P3,2022-05-12,,Ativa,,0
A00599,C00599,P1,2022-07-04,,Ativa,,0
A00600,C00600,P2,2022-05-08,,Ativa,,0
A00601,C00601,P3,2020-12-21,2025-08-21,Cancelada,Preço,1
A00602,C00602,P1,2022-02-28,,Ativa,,0
A00603,C00603,P2,2022-08-14,,Ativa,,0
A00604,C00604,P1,2021-07-24,,Ativa,,0
A00605,C00605,P2,2022-10-23,,Ativa,,0
A00606,C00606,P1,2022-04-05,,Ativa,,0
A00607,C00607,P3,2021-05-13,,Ativa,,0
A00608,C00608,P1,2021-03-02,,Ativa,,0
A00609,C00609,P1,2021-12-30,2025-06-27,Cancelada,Atendimento,1
A00610,C00610,P2,2022-07-17,,Ativa,,0
A00611,C00611,P1,2021-06-05,,Ativa,,0
A00612,C00612,P3,2022-01-26,,Ativa,,0
A00613,C00613,P1,2021-03-11,,Ativa,,0
A00614,C00614,P1,2022-07-18,,Ativa,,0
A00615,C00615,P1,2022-07-15,,Ativa,,0
A00616,C00616,P1,2020-10-18,,Ativa,,0
A00617,C00617,P2,2021-08-21,,Ativa,,0
A00618,C00618,P3,2021-04-03,,Ativa,,0
A00619,C00619,P2,2022-03-26,,Ativa,,0
A00620,C00620,P2,2021-09-08,2024-08-08,Cancelada,Concorrência,1
A00621,C00621,P2,2022-10-08,,Ativa,,0
A00622,C00622,P2,2022-07-17,2025-03-22,Cancelada,Insatisfação,1
A00623,C00623,P2,2021-08-24,2024-09-26,Cancelada,Insatisfação,1
A00624,C00624,P1,2022-09-06,,Ativa,,0
A00625,C00625,P1,2021-11-08,,Ativa,,0
A00626,C00626,P3,2021-09-29,,Ativa,,0
A00627,C00627,P1,2022-05-09,,Ativa,,0
A00628,C00628,P3,2022-04-03,,Ativa,,0
A00629,C00629,P1,2022-11-26,,Ativa,,0
A00630,C00630,P1,2022-10-26,,Ativa,,0
A00631,C00631,P4,2022-08-13,,Ativa,,0
A00632,C00632,P2,2021-08-23,,Ativa,,0
A00633,C00633,P1,2020-08-15,,Ativa,,0
A00634,C00634,P1,2021-10-05,2024-08-07,Cancelada,Insatisfação,1
A00635,C00635,P2,2022-09-04,,Ativa,,0
A00636,C00636,P3,2021-12-05,,Ativa,,0
A00637,C00637,P2,2021-03-18,2024-08-07,Cancelada,Insatisfação,1
A00638,C00638,P2,2020-09-05,,Ativa,,0
A00639,C00639,P3,2022-11-21,,Ativa,,0
A00640,C00640,P2,2021-12-18,,Ativa,,0
A00641,C00641,P1,2021-01-13,2023-06-17,Cancelada,Insatisfação,1
A00642,C00642,P2,2021-08-16,2025-05-01,Cancelada,Concorrência,1
A00643,C00643,P2,2021-06-02,,Ativa,,0
A00644,C00644,P3,2020-07-25,,Ativa,,0
A00645,C00645,P2,2022-05-25,,Ativa,,0
A00646,C00646,P1,2022-04-03,,Ativa,,0
A00647,C00647,P1,2021-11-14,2025-05-04,Cancelada,Preço,1
A00648,C00648,P3,2021-07-25,,Ativa,,0
A00649,C00649,P1,2021-01-09,,Ativa,,0
A00650,C00650,P3,2020-12-29,2024-10-11,Cancelada,Concorrência,1
A00651,C00651,P3,2022-11-09,,Ativa,,0
A00652,C00652,P1,2021-01-14,,Ativa,,0
A00653,C00653,P4,2021-06-24,,Ativa,,0
A00654,C00654,P1,2022-06-10,,Ativa,,0
A00655,C00655,P1,2021-08-07,,Ativa,,0
A00656,C00656,P1,2021-03-11,,Ativa,,0
A00657,C00657,P2,2022-09-13,,Ativa,,0
A00658,C00658,P1,2022-04-09,,Ativa,,0
A00659,C00659,P1,2020-12-16,,Ativa,,0
A00660,C00660,P1,2020-10-07,2024-04-10,Cancelada,Insatisfação,1
A00661,C00661,P3,2022-01-03,2023-11-05,Cancelada,Preço,1
A00662,C00662,P2,2021-07-27,,Ativa,,0
A00663,C00663,P4,2020-09-17,2025-02-27,Cancelada,Atendimento,1
A00664,C00664,P1,2022-08-07,,Ativa,,0
A00665,C00665,P2,2021-10-13,2023-03-10,Cancelada,Insatisfação,1
A00666,C00666,P1,2022-04-24,2023-03-06,Cancelada,Concorrência,1
A00667,C00667,P2,2021-06-06,2023-10-30,Cancelada,Concorrência,1
A00668,C00668,P2,2021-09-13,,Ativa,,0
A00669,C00669,P2,2022-02-04,,Ativa,,0
A00670,C00670,P2,2022-11-01,,Ativa,,0
A00671,C00671,P3,2021-11-07,,Ativa,,0
A00672,C00672,P1,2022-06-28,,Ativa,,0
A00673,C00673,P1,2021-01-28,2024-10-23,Cancelada,Insatisfação,1
A00674,C00674,P3,2022-06-01,,Ativa,,0
A00675,C00675,P1,2021-03-23,,Ativa,,0
A00676,C00676,P1,2022-10-25,2024-11-21,Cancelada,Insatisfação,1
A00677,C00677,P4,2022-07-10,,Ativa,,0
A00678,C00678,P2,2021-01-01,,Ativa,,0
A00679,C00679,P2,2021-08-09,,Ativa,,0
A00680,C00680,P2,2022-06-14,,Ativa,,0
A00681,C00681,P2,2022-06-12,,Ativa,,0
A00682,C00682,P2,2022-09-15,,Ativa,,0
A00683,C00683,P1,2021-03-24,,Ativa,,0
A00684,C00684,P1,2020-09-05,,Ativa,,0
A00685,C00685,P2,2020-07-28,,Ativa,,0
A00686,C00686,P3,2022-10-08,,Ativa,,0
A00687,C00687,P1,2022-04-07,,Ativa,,0
A00688,C00688,P2,2021-01-07,,Ativa,,0
A00689,C00689,P2,2020-07-21,,Ativa,,0
A00690,C00690,P1,2021-08-17,,Ativa,,0
A00691,C00691,P2,2022-01-16,2024-11-17,Cancelada,Insatisfação,1
A00692,C00692,P1,2020-11-20,2024-12-30,Cancelada,Insatisfação,1
A00693,C00693,P1,2021-01-29,2025-05-10,Cancelada,Concorrência,1
A00694,C00694,P2,2020-09-01,,Ativa,,0
A00695,C00695,P2,2021-02-16,2024-01-16,Cancelada,Insatisfação,1
A00696,C00696,P3,2021-12-27,2025-01-30,Cancelada,Insatisfação,1
A00697,C00697,P1,2021-03-18,,Ativa,,0
A00698,C00698,P3,2020-11-30,,Ativa,,0
A00699,C00699,P1,2022-11-13,2025-01-05,Cancelada,Insatisfação,1
A00700,C00700,P2,2021-04-23,2025-08-08,Cancelada,Concorrência,1
A00701,C00701,P2,2021-05-28,2023-12-10,Cancelada,Preço,1
A00702,C00702,P2,2021-10-18,2025-07-19,Cancelada,Preço,1
A00703,C00703,P2,2021-02-07,,Ativa,,0
A00704,C00704,P1,2021-07-22,2024-06-06,Cancelada,Concorrência,1
A00705,C00705,P1,2022-04-02,,Ativa,,0
A00706,C00706,P2,2022-10-26,2024-10-17,Cancelada,Atendimento,1
A00707,C00707,P1,2021-08-20,,Ativa,,0
A00708,C00708,P1,2021-03-09,,Ativa,,0
A00709,C00709,P2,2020-08-14,2025-04-01,Cancelada,Insatisfação,1
A00710,C00710,P3,2022-04-21,,Ativa,,0
A00711,C00711,P4,2021-05-23,2023-07-18,Cancelada,Insatisfação,1
A00712,C00712,P2,2020-10-18,,Ativa,,0
A00713,C00713,P1,2022-10-22,,Ativa,,0
A00714,C00714,P1,2022-06-02,2024-12-16,Cancelada,Concorrência,1
A00715,C00715,P3,2020-12-24,,Ativa,,0
A00716,C00716,P2,2021-04-01,2023-12-18,Cancelada,Insatisfação,1
A00717,C00717,P3,2021-09-30,,Ativa,,0
A00718,C00718,P4,2021-07-01,,Ativa,,0
A00719,C00719,P1,2020-12-31,,Ativa,,0
A00720,C00720,P1,2020-08-30,,Ativa,,0
A00721,C00721,P1,2021-07-24,,Ativa,,0
A00722,C00722,P2,2022-04-11,,Ativa,,0
A00723,C00723,P3,2022-04-21,,Ativa,,0
A00724,C00724,P1,2021-11-15,,Ativa,,0
A00725,C00725,P1,2022-10-31,,Ativa,,0
A00726,C00726,P2,2021-03-24,,Ativa,,0
A00727,C00727,P3,2021-10-07,2023-10-25,Cancelada,Concorrência,1
A00728,C00728,P3,2022-03-24,,Ativa,,0
A00729,C00729,P4,2021-10-01,,Ativa,,0
A00730,C00730,P2,2021-08-26,,Ativa,,0
A00731,C00731,P2,2022-07-20,2025-04-27,Cancelada,Concorrência,1
A00732,C00732,P2,2020-10-28,,Ativa,,0
A00733,C00733,P3,2022-05-27,,Ativa,,0
A00734,C00734,P1,2022-02-02,,Ativa,,0
A00735,C00735,P3,2021-03-07,,Ativa,,0
A00736,C00736,P1,2021-11-22,,Ativa,,0
A00737,C00737,P1,2022-04-02,,Ativa,,0
A00738,C00738,P3,2021-12-06,,Ativa,,0
A00739,C00739,P1,2021-07-23,,Ativa,,0
A00740,C00740,P2,2021-11-21,,Ativa,,0
A00741,C00741,P1,2022-02-10,2025-06-29,Cancelada,Concorrência,1
A00742,C00742,P2,2022-02-05,2024-10-03,Cancelada,Preço,1
A00743,C00743,P2,2022-02-07,,Ativa,,0
A00744,C00744,P2,2021-07-23,,Ativa,,0
A00745,C00745,P2,2022-06-10,2025-02-04,Cancelada,Insatisfação,1
A00746,C00746,P1,2021-03-09,,Ativa,,0
A00747,C00747,P2,2022-06-20,2023-04-02,Cancelada,Insatisfação,1
A00748,C00748,P2,2021-01-20,2023-11-22,Cancelada,Preço,1
A00749,C00749,P1,2022-07-31,2024-02-14,Cancelada,Insatisfação,1
A00750,C00750,P4,2021-07-01,2024-12-28,Cancelada,Insatisfação,1
A00751,C00751,P3,2021-01-19,,Ativa,,0
A00752,C00752,P1,2022-08-05,,Ativa,,0
A00753,C00753,P1,2021-03-20,,Ativa,,0
A00754,C00754,P1,2021-06-26,2023-10-02,Cancelada,Insatisfação,1
A00755,C00755,P4,2021-10-21,,Ativa,,0
A00756,C00756,P1,2022-09-04,,Ativa,,0
A00757,C00757,P1,2020-11-16,2024-08-11,Cancelada,Concorrência,1
A00758,C00758,P1,2022-09-26,,Ativa,,0
A00759,C00759,P1,2021-05-12,,Ativa,,0
A00760,C00760,P3,2020-07-31,,Ativa,,0
A00761,C00761,P3,2022-03-09,2024-12-02,Cancelada,Preço,1
A00762,C00762,P2,2020-10-10,,Ativa,,0
A00763,C00763,P1,2021-05-02,,Ativa,,0
A00764,C00764,P3,2020-07-20,,Ativa,,0
A00765,C00765,P3,2021-12-02,,Ativa,,0
A00766,C00766,P4,2021-06-24,,Ativa,,0
A00767,C00767,P2,2020-08-08,,Ativa,,0
A00768,C00768,P2,2022-02-17,2024-12-13,Cancelada,Insatisfação,1
A00769,C00769,P1,2020-08-03,,Ativa,,0
A00770,C00770,P3,2021-08-18,,Ativa,,0
A00771,C00771,P1,2022-07-13,,Ativa,,0
A00772,C00772,P1,2020-12-22,2025-07-31,Cancelada,Insatisfação,1
A00773,C00773,P1,2022-09-14,,Ativa,,0
A00774,C00774,P1,2022-08-03,,Ativa,,0
A00775,C00775,P3,2022-05-06,,Ativa,,0
A00776,C00776,P1,2021-12-11,,Ativa,,0
A00777,C00777,P2,2020-08-15,,Ativa,,0
A00778,C00778,P1,2022-04-27,,Ativa,,0
A00779,C00779,P2,2022-05-31,,Ativa,,0
A00780,C00780,P1,2021-06-18,,Ativa,,0
A00781,C00781,P1,2021-07-15,,Ativa,,0
A00782,C00782,P2,2022-02-08,,Ativa,,0
A00783,C00783,P1,2021-01-11,,Ativa,,0
A00784,C00784,P1,2022-08-20,,Ativa,,0
A00785,C00785,P2,2022-07-30,,Ativa,,0
A00786,C00786,P3,2021-12-03,,Ativa,,0
A00787,C00787,P1,2022-08-14,,Ativa,,0
A00788,C00788,P1,2021-07-10,,Ativa,,0
A00789,C00789,P2,2020-10-15,,Ativa,,0
A00790,C00790,P2,2020-08-26,,Ativa,,0
A00791,C00791,P3,2021-11-05,,Ativa,,0
A00792,C00792,P1,2020-12-09,,Ativa,,0
A00793,C00793,P2,2021-04-29,2025-03-29,Cancelada,Preço,1
A00794,C00794,P2,2021-07-14,,Ativa,,0
A00795,C00795,P1,2022-11-04,,Ativa,,0
A00796,C00796,P3,2021-11-08,2024-06-17,Cancelada,Atendimento,1
A00797,C00797,P1,2022-03-24,,Ativa,,0
A00798,C00798,P1,2021-08-18,2025-02-19,Cancelada,Insatisfação,1
A00799,C00799,P2,2022-11-10,,Ativa,,0
A00800,C00800,P3,2021-07-12,,Ativa,,0
A00801,C00801,P2,2021-02-20,,Ativa,,0
A00802,C00802,P4,2020-11-28,,Ativa,,0
A00803,C00803,P3,2021-09-21,2024-05-14,Cancelada,Concorrência,1
A00804,C00804,P1,2021-10-17,,Ativa,,0
A00805,C00805,P1,2022-05-25,2024-08-01,Cancelada,Concorrência,1
A00806,C00806,P2,2021-05-02,,Ativa,,0
A00807,C00807,P1,2020-07-21,,Ativa,,0
A00808,C00808,P3,2022-03-15,2024-06-05,Cancelada,Insatisfação,1
A00809,C00809,P1,2021-08-14,2025-04-14,Cancelada,Preço,1
A00810,C00810,P1,2020-09-15,2025-01-18,Cancelada,Concorrência,1
A00811,C00811,P2,2022-10-07,2024-02-02,Cancelada,Concorrência,1
A00812,C00812,P2,2021-10-22,,Ativa,,0
A00813,C00813,P2,2020-09-30,,Ativa,,0
A00814,C00814,P1,2020-11-08,,Ativa,,0
A00815,C00815,P1,2021-09-08,,Ativa,,0
A00816,C00816,P1,2021-08-03,,Ativa,,0
A00817,C00817,P3,2022-11-11,,Ativa,,0
A00818,C00818,P3,2021-02-16,,Ativa,,0
A00819,C00819,P1,2022-03-16,,Ativa,,0
A00820,C00820,P3,2020-08-23,2025-01-11,Cancelada,Atendimento,1
A00821,C00821,P4,2020-11-08,,Ativa,,0
A00822,C00822,P2,2020-11-16,,Ativa,,0
A00823,C00823,P2,2021-02-25,,Ativa,,0
A00824,C00824,P1,2020-12-02,2023-05-14,Cancelada,Concorrência,1
A00825,C00825,P3,2022-03-11,,Ativa,,0
A00826,C00826,P2,2022-04-17,2024-07-02,Cancelada,Insatisfação,1
A00827,C00827,P4,2022-05-13,,Ativa,,0
A00828,C00828,P1,2022-08-04,,Ativa,,0
A00829,C00829,P2,2020-12-02,2024-01-12,Cancelada,Preço,1
A00830,C00830,P2,2022-04-26,,Ativa,,0
A00831,C00831,P1,2022-04-05,,Ativa,,0
A00832,C00832,P2,2020-12-23,2024-01-09,Cancelada,Insatisfação,1
A00833,C00833,P1,2021-05-11,,Ativa,,0
A00834,C00834,P1,2020-12-06,,Ativa,,0
A00835,C00835,P4,2022-07-20,,Ativa,,0
A00836,C00836,P2,2022-01-12,2023-04-10,Cancelada,Concorrência,1
A00837,C00837,P4,2020-07-31,2025-07-10,Cancelada,Insatisfação,1
A00838,C00838,P1,2022-01-16,,Ativa,,0
A00839,C00839,P1,2022-10-09,,Ativa,,0
A00840,C00840,P1,2022-10-22,,Ativa,,0
A00841,C00841,P2,2022-07-29,,Ativa,,0
A00842,C00842,P1,2022-04-29,,Ativa,,0
A00843,C00843,P4,2020-10-07,,Ativa,,0
A00844,C00844,P4,2020-07-28,,Ativa,,0
A00845,C00845,P2,2021-02-27,2023-10-03,Cancelada,Preço,1
A00846,C00846,P2,2022-07-23,,Ativa,,0
A00847,C00847,P1,2021-05-21,2024-05-28,Cancelada,Atendimento,1
A00848,C00848,P4,2022-06-19,2025-01-16,Cancelada,Preço,1
A00849,C00849,P2,2020-11-09,,Ativa,,0
A00850,C00850,P2,2022-03-03,,Ativa,,0
A00851,C00851,P2,2021-02-25,,Ativa,,0
A00852,C00852,P2,2021-06-11,,Ativa,,0
A00853,C00853,P3,2022-07-03,2025-06-04,Cancelada,Insatisfação,1
A00854,C00854,P2,2022-08-14,,Ativa,,0
A00855,C00855,P2,2021-12-04,,Ativa,,0
A00856,C00856,P3,2022-10-17,,Ativa,,0
A00857,C00857,P3,2021-03-04,,Ativa,,0
A00858,C00858,P1,2021-09-14,,Ativa,,0
A00859,C00859,P2,2020-12-24,,Ativa,,0
A00860,C00860,P4,2020-08-31,,Ativa,,0
A00861,C00861,P3,2022-11-05,2025-07-09,Cancelada,Preço,1
A00862,C00862,P2,2020-10-05,,Ativa,,0
A00863,C00863,P4,2021-07-24,,Ativa,,0
A00864,C00864,P1,2022-11-24,,Ativa,,0
A00865,C00865,P2,2022-02-08,,Ativa,,0
A00866,C00866,P2,2022-04-09,,Ativa,,0
A00867,C00867,P1,2021-08-05,,Ativa,,0
A00868,C00868,P2,2021-12-15,2024-06-21,Cancelada,Concorrência,1
A00869,C00869,P1,2020-07-23,,Ativa,,0
A00870,C00870,P3,2020-09-05,,Ativa,,0
A00871,C00871,P1,2022-06-25,,Ativa,,0
A00872,C00872,P2,2021-11-30,,Ativa,,0
A00873,C00873,P3,2020-08-28,2024-04-02,Cancelada,Atendimento,1
A00874,C00874,P2,2020-10-06,,Ativa,,0
A00875,C00875,P3,2021-01-16,,Ativa,,0
A00876,C00876,P4,2021-03-18,,Ativa,,0
A00877,C00877,P1,2021-11-27,,Ativa,,0
A00878,C00878,P3,2022-07-30,,Ativa,,0
A00879,C00879,P3,2022-02-12,2025-08-19,Cancelada,Insatisfação,1
A00880,C00880,P2,2021-09-27,2024-12-13,Cancelada,Preço,1
A00881,C00881,P3,2020-09-10,,Ativa,,0
A00882,C00882,P2,2020-10-03,,Ativa,,0
A00883,C00883,P2,2022-10-04,,Ativa,,0
A00884,C00884,P3,2021-06-10,,Ativa,,0
A00885,C00885,P3,2020-09-16,,Ativa,,0
A00886,C00886,P3,2020-11-20,2024-01-19,Cancelada,Insatisfação,1
A00887,C00887,P2,2021-06-17,,Ativa,,0
A00888,C00888,P1,2022-08-11,2023-03-28,Cancelada,Insatisfação,1
A00889,C00889,P1,2021-08-30,2024-12-02,Cancelada,Preço,1
A00890,C00890,P1,2020-07-21,,Ativa,,0
A00891,C00891,P3,2021-01-13,,Ativa,,0
A00892,C00892,P2,2022-08-24,,Ativa,,0
A00893,C00893,P2,2021-08-02,,Ativa,,0
A00894,C00894,P2,2021-07-10,,Ativa,,0
A00895,C00895,P2,2022-07-08,,Ativa,,0
A00896,C00896,P3,2021-08-23,,Ativa,,0
A00897,C00897,P4,2021-10-10,,Ativa,,0
A00898,C00898,P1,2022-02-04,,Ativa,,0
A00899,C00899,P2,2022-02-15,2024-07-17,Cancelada,Insatisfação,1
A00900,C00900,P2,2021-04-25,2024-08-30,Cancelada,Preço,1
A00901,C00901,P2,2022-07-20,,Ativa,,0
A00902,C00902,P1,2021-01-21,,Ativa,,0
A00903,C00903,P1,2020-11-09,2024-04-02,Cancelada,Insatisfação,1
A00904,C00904,P3,2021-02-11,,Ativa,,0
A00905,C00905,P3,2021-06-16,,Ativa,,0
A00906,C00906,P4,2022-03-26,,Ativa,,0
A00907,C00907,P2,2021-07-17,,Ativa,,0
A00908,C00908,P2,2021-05-27,2023-08-09,Cancelada,Preço,1
A00909,C00909,P1,2021-01-07,2023-09-13,Cancelada,Preço,1
A00910,C00910,P3,2021-10-06,,Ativa,,0
A00911,C00911,P1,2021-04-11,,Ativa,,0
A00912,C00912,P1,2022-09-26,,Ativa,,0
A00913,C00913,P1,2021-04-11,,Ativa,,0
A00914,C00914,P2,2020-09-22,2025-03-03,Cancelada,Insatisfação,1
A00915,C00915,P2,2021-05-13,2024-07-27,Cancelada,Concorrência,1
A00916,C00916,P2,2021-07-27,,Ativa,,0
A00917,C00917,P3,2021-04-12,,Ativa,,0
A00918,C00918,P1,2020-11-20,,Ativa,,0
A00919,C00919,P4,2021-01-03,,Ativa,,0
A00920,C00920,P2,2021-12-31,,Ativa,,0
A00921,C00921,P1,2021-01-13,2023-12-16,Cancelada,Preço,1
A00922,C00922,P2,2021-05-30,,Ativa,,0
A00923,C00923,P1,2021-12-01,,Ativa,,0
